15,16,100,52,3.43265295029
5,16,10,13,14.3361608982
1,20,100,26,109.393563032
15,10,10,13,37.8463468552
15,20,20,26,227.978600025
20,10,10,13,53.9602839947
2,20,20,52,3.3310611248
15,10,100,52,3.44414496422
2,20,100,104,1071.98227406
2,20,50,26,112.493104935
10,20,50,104,2359.70658803
2,20,100,52,3.49480080605
10,16,50,26,449.709311962
20,10,100,26,2020.23807597
1,20,50,26,47.4168059826
5,10,50,26,218.554655075
2,10,10,104,77.0364999771
10,16,20,104,815.160116911
10,16,20,26,179.549723148
5,20,50,26,238.348479033
1,20,100,52,3.45355200768
15,10,10,52,3.29759001732
1,20,20,104,95.7746968269
10,10,10,104,352.938030958
15,10,20,26,232.335405111
20,20,20,104,1726.46086311
2,10,100,13,115.259609938
1,16,50,13,23.0842440128
10,20,50,26,499.288124084
20,16,10,13,58.3112750053
1,16,50,26,66.8617591858
1,20,10,13,4.72888493538
10,10,100,13,480.48904109
20,16,100,26,2331.21542287
1,16,100,26,123.499159813
10,16,20,52,3.70828413963
1,20,50,104,269.723484039
20,16,50,104,4806.7285769
20,16,20,26,363.681770802
15,10,20,104,1167.39716005
1,10,10,26,9.16180801392
1,10,20,26,14.2069242001
20,16,20,52,3.33854484558
1,20,10,52,3.29819011688
10,10,20,26,151.409729958
10,20,100,26,1156.41493583
2,10,10,13,6.36812615395
5,16,100,104,2593.40773296
2,20,50,52,3.36504602432
1,16,100,52,3.43528103828
2,16,100,104,1081.66576099
2,10,10,52,3.42950296402
1,10,20,13,8.50840497017
20,10,20,13,137.771712065
1,16,20,52,3.34896183014
2,16,10,104,77.9015500546
15,16,10,104,636.270602942
5,20,10,13,13.7083320618
10,10,50,52,3.34331011772
20,16,50,13,389.020203114
10,10,50,13,201.182394028
1,20,10,104,47.7799890041
20,20,10,13,50.9669828415
1,20,20,13,7.78887581825
2,16,50,104,469.831990004
10,16,10,13,26.7020859718
5,20,100,26,556.096174002
20,20,10,26,123.844911098
15,10,50,13,307.371578932
5,10,50,104,1130.97908902
15,20,20,104,1276.52531505
5,20,20,26,80.9749519825
2,10,20,26,35.1126170158
1,10,50,104,252.324640989
20,16,10,26,127.969505072
5,16,20,52,3.30865097046
20,10,50,13,454.475518942
10,16,20,13,71.5022640228
15,20,20,13,108.023901939
10,20,20,13,74.5904450417
1,20,100,104,556.970319986
15,20,100,13,689.38990283
10,10,20,13,64.4449779987
2,16,10,26,15.7483048439
2,10,50,26,92.0742242336
20,20,50,104,4622.08494902
2,16,100,52,3.85921502113
10,20,50,13,211.639097929
20,16,10,52,5.58997511864
1,10,20,52,4.23591709137
2,16,10,13,7.42345786095
5,20,20,13,35.6659638882
2,10,100,52,3.52986288071
2,20,20,13,14.9125111103
15,10,50,26,675.251860857
15,20,100,104,7603.46692204
5,16,100,26,499.269932985
5,20,10,26,44.5547568798
15,16,50,104,3517.905586
20,16,50,26,933.717305183
20,20,50,13,462.322385073
1,16,10,52,3.406924963
10,16,100,13,505.163276911
5,10,10,13,14.2030670643
1,16,20,104,90.4696199894
5,20,10,52,3.38969612122
1,16,10,26,14.1464619637
5,16,50,26,231.810996056
5,16,20,13,38.0795969963
2,10,10,26,16.6333761215
10,16,100,52,3.4725291729
20,16,100,52,3.77927803993
1,10,50,52,3.47306394577
15,16,50,52,3.43562698364
2,10,50,52,3.59605884552
15,20,10,26,105.708714962
10,20,50,52,3.56012010574
1,20,50,13,28.1898150444
2,20,100,13,100.872671843
2,10,100,104,1047.8015871
20,20,100,26,2095.95763588
2,20,20,104,184.679500103
15,16,20,13,108.910386086
15,10,10,104,543.26761198
1,10,10,13,4.34847617149
5,10,50,52,3.43418693542
15,20,50,13,301.659508944
2,16,10,52,3.41517400742
20,10,20,52,3.61962389946
10,10,10,13,28.0352549553
10,10,10,26,66.5670909882
2,20,20,26,30.8998730183
20,20,20,52,3.53176808357
10,20,10,52,3.61179089546
15,16,100,26,1639.94684815
15,10,100,13,685.022998095
2,16,20,13,13.5625638962
20,10,20,26,392.830743074
5,20,100,13,231.031472921
1,10,100,13,41.8850581646
5,16,50,104,1295.17919993
1,20,10,26,9.40124297142
15,20,50,104,3438.08892703
20,10,50,26,876.876706839
5,16,50,13,99.6494300365
10,10,50,26,434.774409056
15,10,100,26,1455.13188505
2,20,10,26,14.7887971401
1,16,20,13,7.79734110832
15,20,10,52,3.376486063
10,20,100,13,472.704084873
1,10,100,26,96.3758678436
10,16,50,104,2245.66699004
1,10,100,104,475.00970006
15,10,20,52,3.38579916954
20,20,20,26,299.283001184
5,20,50,104,1157.90889192
10,16,50,52,3.40672087669
20,16,50,52,3.49051499367
10,16,100,26,1007.48025107
20,16,100,13,931.24076581
15,16,100,13,740.627931118
2,16,20,104,169.944033146
5,16,50,52,3.73351788521
20,20,100,52,4.27713489532
5,10,20,52,3.73966097832
1,10,50,13,22.180711031
20,16,10,104,782.282352209
1,10,10,52,3.37388801575
15,16,20,26,263.036019087
15,20,50,26,749.887328863
5,16,10,52,3.55047297478
5,16,10,26,35.6789638996
1,20,50,52,3.53103494644
10,16,10,104,384.864640951
20,16,20,104,1610.47712398
5,10,100,13,237.271256208
10,10,20,52,3.46075201035
1,20,100,13,45.8055820465
2,10,50,104,465.088828802
1,16,10,104,44.1355321407
1,16,50,52,3.37203598022
2,20,100,26,207.630842924
20,10,20,104,1625.28825784
1,10,50,26,45.3041729927
2,20,10,52,3.43848609924
15,16,50,13,290.493016958
5,10,20,104,383.297097921
2,10,50,13,39.2507610321
10,20,20,26,143.866388083
2,10,20,13,13.7702460289
5,16,100,52,3.53540897369
2,20,50,13,44.5942769051
2,16,100,26,223.535274982
5,16,100,13,226.029539108
5,10,50,13,101.035265923
fores,0.187444925308
fores,0.0201709270477
fores,0.019956111908
fores,0.0805401802063
fores,0.0198760032654
fores,0.0194499492645
fores,0.0196080207825
fores,0.0192329883575
fores,0.0191969871521
fores,0.0194580554962
fores,0.0233209133148
fores,0.0232219696045
fores,0.0211977958679
fores,0.020201921463
fores,0.0199639797211
fores,0.0191831588745
fores,0.0188481807709
fores,0.0181241035461
fores,0.0185110569
fores,0.018826007843
fores,0.019140958786
fores,0.0191929340363
fores,1.39913702011
fores,1.598498106
fores,1.69908189774
fores,1.46194887161
fores,1.44298005104
fores,1.44909191132
fores,1.4593770504
fores,1.42857599258
fores,1.57950401306
fores,1.64511084557
fores,1.40261077881
fores,1.38830399513
fores,1.38916397095
fores,1.38878202438
fores,1.57844877243
fores,1.3965780735
fores,1.58583402634
fores,1.69542002678
fores,1.45005822182
fores,1.39760899544
fores,1.57307291031
fores,1.71622991562
fores,1.44235491753
fores,1.43226504326
fores,1.4572789669
fores,1.4523191452
fores,1.43139696121
fores,1.50869989395
fores,1.65835189819
